Rain
0.072
0.022
0.001
0.442
0.442
0.0
0.0
0.0
0.016
0.0
0.161
0.121
0.251
0.312
0.0
0.0
0.712
0.071
0.0
0.0
0.0
0.0
0.0
0.0
1.144
0.162
0.273
0.011
0.0
0.0
0.153
0.041
0.0
0.002
0.001
0.302
0.0
0.0
0.0
0.0
0.591
0.01
0.0
0.0
0.0
0.001
0.01
0.0
